Client_ID,Name,Age,Gender,City,Zone,Fashion_Wallet,Tier,LTV_Potential,Purchase_Motivation,Preferred_Channel,Return_Risk_Prob,Social_Influence_Score,Price_Sensitivity,Preferred_Hardware,Preferred_Material,Preferred_Size,Brand_Affinity,Sociological_Profile,Email,Current_Budget,Purchases_Count
CL-628281,Amanda Iglesias Nevado,27,F,Madrid,Chamberí,32869,Gold (Recurrente),Medio,Recompensa / Éxito,Instagram Shop,0.15,12,Media (Busca Valor),Oro,Grained Calf,Small/Medium,Jacquemus | Givenchy,Young_High_Pro,amanda.iglesias@gmail.com,32869,0
CL-159760,Virginia Garcés Bejarano,44,F,Marbella,Puerto Banús,31617,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,49,Baja (Precio Completo),Oro,Metálico,Mini,Versace | Dolce & Gabbana,Global_Jetset,virginia.garcés@gmail.com,31617,0
CL-350678,Fidel Catalán Villa,51,M,Valencia,Pla del Remei,4804,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,10,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Urban_Sophisticated,fidel.catalán@gmail.com,1595,0
CL-571570,Adelaida Diéguez Nogueira,39,F,Murcia,Catedral,8638,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,30,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Louis Vuitton,Agro_Wealth,adelaida.diéguez@gmail.com,1559,0
CL-965080,María Belén Izaguirre Miranda,37,F,Marbella,Puerto Banús,198197,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,66,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Versace | Fendi,Global_Jetset,maría belén.izaguirre@gmail.com,180557,0
CL-161306,Concepción Jara Guijarro,73,F,Getxo,Neguri,20720,Gold (Recurrente),Medio,Calidad y Atemporalidad,Teléfono Privado,0.05,47,Baja (Precio Completo),Oro (GHW),Togo,Medium (30/32),Rolex | Prada,Industrial_Wealth,concepción.jara@gmail.com,12441,0
CL-373568,María Belén Lasa Garzón,52,F,Getxo,Neguri,5932,Gold (Recurrente),Medio,Calidad y Atemporalidad,Teléfono Privado,0.05,12,Baja (Precio Completo),Oro (GHW),Clemence,Medium (30/32),Prada | Rolex,Industrial_Wealth,maría belén.lasa@gmail.com,145,0
CL-940149,Patricia Farré Palomares,58,F,Madrid,Salamanca,32118,Gold (Recurrente),Medio,Inversión / Coleccionismo,Boutique Privada,0.05,21,Baja (Precio Completo),Oro (GHW),Exótico (Cocodrilo/Avestruz),Mini/Small,Loewe | Hermès,Aristocracy,patricia.farré@gmail.com,108,0
CL-453883,Jennifer Macías Carreras,28,F,Oleiros,Icaria (Inditex),8483,VIP Platinum (Alto Valor),Alto,Tendencia y Estatus,E-Commerce,0.25,51,Media (Busca Valor),Paladio (PHW),Epsom,Large/Tote,Saint Laurent | Prada,Fashion_Exec,jennifer.macías@gmail.com,1776,0
CL-618129,Guiomar Bustamante Borja,39,F,Oleiros,Icaria (Inditex),81512,Gold (Recurrente),Medio,Tendencia y Estatus,E-Commerce,0.25,33,Media (Busca Valor),So Black,Piel Brillante,Large/Tote,Saint Laurent | Balenciaga,Fashion_Exec,guiomar.bustamante@gmail.com,81512,0
CL-820895,Silvio Aragonés Pérez,39,M,Palma,Son Vida,63136,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,90,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Hublot | Fendi,Global_Jetset,silvio.aragonés@gmail.com,49804,0
CL-108916,Nidia Carbó Flores,50,F,Alcobendas,La Moraleja,35797,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),E-Commerce,0.15,48,Baja (Precio Completo),Paladio (PHW),Canvas,Small/Medium,Hermès | Chanel,Elite,nidia.carbó@gmail.com,536,0
CL-712421,Amaya Ugarte Hoyos,33,F,Palma,Son Vida,8667,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,60,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Hublot,Global_Jetset,amaya.ugarte@gmail.com,8667,0
CL-680742,Maite Arellano Ramírez,60,F,Alcobendas,La Moraleja,8463,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),E-Commerce,0.15,16,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Cartier | Hermès,Elite,maite.arellano@gmail.com,816,0
CL-528321,Arturo Arregui Royo,50,M,Palma,Son Vida,75549,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,37,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Dolce & Gabbana,Global_Jetset,arturo.arregui@gmail.com,75549,0
CL-253304,Zacarías Torrijos Hernando,57,M,Palma,Son Vida,8686,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,31,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Hublot,Global_Jetset,zacarías.torrijos@gmail.com,8686,0
CL-239147,Ruth Armengol Camino,37,F,Palma,Son Vida,22683,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,73,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Hublot | Dolce & Gabbana,Global_Jetset,ruth.armengol@gmail.com,22683,0
CL-728563,Daniela Hernando Solé,73,F,Getxo,Neguri,23938,Gold (Recurrente),Medio,Calidad y Atemporalidad,Teléfono Privado,0.05,32,Baja (Precio Completo),Oro (GHW),Clemence,Medium (30/32),Hermès | Rolex,Industrial_Wealth,daniela.hernando@gmail.com,3071,0
CL-255575,Aristides Alsina Carro,39,M,Marbella,Puerto Banús,8699,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,69,Baja (Precio Completo),Oro,Metálico,Mini,Hublot | Dolce & Gabbana,Global_Jetset,aristides.alsina@gmail.com,8699,0
CL-254175,Victoria Borrell Alegre,35,F,Oleiros,Icaria (Inditex),90154,Gold (Recurrente),Medio,Tendencia y Estatus,E-Commerce,0.25,39,Media (Busca Valor),Paladio (PHW),Epsom,Large/Tote,Prada | Balenciaga,Fashion_Exec,victoria.borrell@gmail.com,72765,0
CL-875722,Fermín Rocha Barberá,47,M,Marbella,Puerto Banús,25314,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,40,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Fendi,Global_Jetset,fermín.rocha@gmail.com,13496,0
CL-126616,Olivia Armas Peña,64,F,Altea,Altea Hills,7186,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,31,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Expat_Wealth,olivia.armas@gmail.com,207,0
CL-832163,Jessica Segarra Rosales,49,F,Palma,Son Vida,4113,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,35,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Dolce & Gabbana,Global_Jetset,jessica.segarra@gmail.com,4113,0
CL-843115,Vilma Cifuentes Salas,46,F,Palma,Son Vida,4725,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,55,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Fendi | Dolce & Gabbana,Global_Jetset,vilma.cifuentes@gmail.com,1545,0
CL-307864,Fabiola Benitez Uriarte,34,F,Oleiros,Icaria (Inditex),37546,Gold (Recurrente),Medio,Tendencia y Estatus,E-Commerce,0.25,30,Media (Busca Valor),Paladio (PHW),Piel Brillante,Large/Tote,Prada | Balenciaga,Fashion_Exec,fabiola.benitez@gmail.com,26808,0
CL-508934,África Crespi Castellanos,44,F,Marbella,Puerto Banús,4158,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,64,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Fendi,Global_Jetset,áfrica.crespi@gmail.com,1316,0
CL-392243,Julieta Alberdi Barros,38,F,Oviedo,Uría,7355,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,32,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Old_Money_Conservative,julieta.alberdi@gmail.com,943,0
CL-771813,Azucena Maestre Romero,32,F,Palma,Son Vida,5980,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,84,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Versace,Global_Jetset,azucena.maestre@gmail.com,5980,0
CL-164187,Melisa Amores Rosado,30,F,Alcorcón,Las Retamas,6879,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,42,Alta (Cazador de Ofertas),Oro (Flashy),Coated Canvas,Small,YSL | Louis Vuitton (Monogram),Aspirational,melisa.amores@gmail.com,788,0
CL-915146,María Belén Varela Vazquez,61,F,Alcobendas,La Moraleja,18623,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),E-Commerce,0.15,13,Baja (Precio Completo),Paladio (PHW),Canvas,Small/Medium,Cartier | Chanel,Elite,maría belén.varela@gmail.com,2870,0
CL-570319,Brunilda Hernández Morán,52,F,Alcobendas,La Moraleja,34626,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,42,Baja (Precio Completo),Oro,Canvas,Small/Medium,Hermès | Chanel,Elite,brunilda.hernández@gmail.com,2345,0
CL-952279,Reyna Revilla Amigó,37,F,Oleiros,Icaria (Inditex),4687,Gold (Recurrente),Medio,Tendencia y Estatus,WhatsApp Business,0.25,18,Media (Busca Valor),Paladio (PHW),Epsom,Large/Tote,Balenciaga | Prada,Fashion_Exec,reyna.revilla@gmail.com,555,0
CL-545226,Maribel Amaya Sancho,36,F,Marbella,Puerto Banús,3894,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,80,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,maribel.amaya@gmail.com,3894,0
CL-114596,Leocadia Solera Morell,38,F,Palma,Son Vida,32514,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,74,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,leocadia.solera@gmail.com,32514,0
CL-100667,Seve Acedo Gil,30,M,Marbella,Puerto Banús,119384,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,77,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Fendi,Global_Jetset,seve.acedo@gmail.com,110215,0
CL-989971,Jimena Perez Mínguez,67,F,Alcobendas,La Moraleja,3728,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),E-Commerce,0.15,42,Baja (Precio Completo),Oro,Canvas,Small/Medium,Chanel | Cartier,Elite,jimena.perez@gmail.com,3728,0
CL-674766,Rufina Fuentes Luz,41,F,Getafe,El Bercial,34963,Estándar (Ocasional),Bajo,Acceso al Lujo (Entry),Busca Chollos,0.15,46,Alta (Cazador de Ofertas),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton (Speedy) | Coach,Middle_Class,rufina.fuentes@gmail.com,9578,0
CL-658023,Benigna Bárcena Diaz,38,F,Madrid,Chamberí,16549,VIP Platinum (Alto Valor),Alto,Recompensa / Éxito,E-Commerce,0.15,78,Media (Busca Valor),Oro,Grained Calf,Small/Medium,Celine | Givenchy,Young_High_Pro,benigna.bárcena@gmail.com,1768,0
CL-657586,Mercedes Querol Figueroa,30,F,Palma,Son Vida,7194,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,71,Baja (Precio Completo),Oro,Metálico,Mini,Versace | Hublot,Global_Jetset,mercedes.querol@gmail.com,7194,0
CL-100693,Rebeca Crespo Jimenez,68,F,Getxo,Neguri,5506,Gold (Recurrente),Medio,Calidad y Atemporalidad,Boutique Física,0.05,27,Baja (Precio Completo),Permabrass,Box,Medium (30/32),Rolex | Prada,Industrial_Wealth,rebeca.crespo@gmail.com,364,0
CL-306041,Tatiana Ureña Anguita,35,F,Palma,Son Vida,75453,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,67,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Dolce & Gabbana,Global_Jetset,tatiana.ureña@gmail.com,75453,0
CL-934530,Pastora Landa Robledo,33,F,Palma,Son Vida,6659,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,62,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Fendi,Global_Jetset,pastora.landa@gmail.com,1576,0
CL-738107,Agustina Tur Soria,35,F,Palma,Son Vida,5415,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,100,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,agustina.tur@gmail.com,2007,0
CL-575059,Adora Valentín Jaén,69,F,Madrid,Salamanca,4331,Gold (Recurrente),Medio,Inversión / Coleccionismo,Boutique Privada,0.05,18,Baja (Precio Completo),Oro Rosa,Box Leather,Mini/Small,Hermès | Dior,Aristocracy,adora.valentín@gmail.com,864,0
CL-431934,Tere Salazar Báez,51,F,Palma,Son Vida,36370,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,47,Baja (Precio Completo),Oro,Metálico,Mini,Fendi | Dolce & Gabbana,Global_Jetset,tere.salazar@gmail.com,22064,0
CL-585875,Marco Gibert Borrego,59,M,Altea,Altea Hills,7673,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,22,Baja (Precio Completo),Paladio (PHW),Canvas,Small/Medium,Louis Vuitton,Expat_Wealth,marco.gibert@gmail.com,1024,0
CL-653764,Abigaíl Vall Segovia,34,F,Ourense,Centro,5511,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,23,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Old_Money_Conservative,abigaíl.vall@gmail.com,705,0
CL-259520,Fortunata Ruano Tamayo,59,F,Marbella,Puerto Banús,4690,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,56,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Versace,Global_Jetset,fortunata.ruano@gmail.com,4690,0
CL-606053,Isa Gomis Gelabert,50,F,Barcelona,Sarrià,5067,Gold (Recurrente),Medio,Calidad y Atemporalidad,Teléfono Privado,0.05,15,Baja (Precio Completo),Oro,Canvas,Small/Medium,Louis Vuitton,Bourgeoisie,isa.gomis@gmail.com,827,0
CL-440236,Rosa Flor Sáez,60,F,Alcobendas,La Moraleja,4380,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,19,Baja (Precio Completo),Paladio (PHW),Canvas,Small/Medium,Chanel | Hermès,Elite,rosa.flor@gmail.com,420,0
CL-431918,Salomé Salgado Santamaria,33,F,Palma,Son Vida,5974,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,63,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Fendi | Hublot,Global_Jetset,salomé.salgado@gmail.com,5974,0
CL-390505,Aroa Jordán Mateu,38,F,Valencia,Pla del Remei,6803,Estándar (Ocasional),Bajo,Acceso al Lujo (Entry),E-Commerce,0.15,44,Alta (Cazador de Ofertas),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Urban_Sophisticated,aroa.jordán@gmail.com,292,0
CL-637067,Florencia Moreno Dalmau,45,F,Marbella,Puerto Banús,7946,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,45,Baja (Precio Completo),Oro,Metálico,Mini,Hublot | Dolce & Gabbana,Global_Jetset,florencia.moreno@gmail.com,7946,0
CL-876380,Azeneth Rubio Santamaría,41,F,Valencia,Pla del Remei,5699,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,45,Baja (Precio Completo),Paladio (PHW),Canvas,Small/Medium,Louis Vuitton,Urban_Sophisticated,azeneth.rubio@gmail.com,1370,0
CL-267770,Isidora Valle Font,70,F,Madrid,Salamanca,4673,Gold (Recurrente),Medio,Inversión / Coleccionismo,Personal Shopper,0.05,42,Baja (Precio Completo),Oro (GHW),Exótico (Cocodrilo/Avestruz),Mini/Small,Hermès | Dior,Aristocracy,isidora.valle@gmail.com,1103,0
CL-596969,Lucila Baquero Mateu,56,F,Palma,Son Vida,8880,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,66,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Versace,Global_Jetset,lucila.baquero@gmail.com,8880,0
CL-864509,Andrea Bravo Mesa,48,F,Marbella,Puerto Banús,8901,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,50,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Hublot,Global_Jetset,andrea.bravo@gmail.com,8901,0
CL-471493,María Del Carmen Fajardo Casanova,59,F,Marbella,Puerto Banús,6341,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,61,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Dolce & Gabbana,Global_Jetset,maría del carmen.fajardo@gmail.com,6341,0
CL-141956,Jennifer Salmerón Andrés,65,F,Ourense,Centro,37690,Gold (Recurrente),Medio,Acceso al Lujo (Entry),E-Commerce,0.15,33,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Louis Vuitton,Old_Money_Conservative,jennifer.salmerón@gmail.com,16972,0
CL-535869,Ruy Morales Puig,69,M,Alcobendas,La Moraleja,6270,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),E-Commerce,0.15,35,Baja (Precio Completo),Paladio (PHW),Grained Calf,Small/Medium,Hermès | Chanel,Elite,ruy.morales@gmail.com,2648,0
CL-419932,Otilia Casanovas Pelayo,50,F,Alcobendas,La Moraleja,6032,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),E-Commerce,0.15,36,Baja (Precio Completo),Oro,Grained Calf,Small/Medium,Cartier | Hermès,Elite,otilia.casanovas@gmail.com,357,0
CL-981580,Patricio Riba Lillo,42,M,Palma,Son Vida,17027,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,31,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Dolce & Gabbana | Versace,Global_Jetset,patricio.riba@gmail.com,17027,0
CL-347966,Jennifer Salas Perea,70,F,Getxo,Neguri,4605,Gold (Recurrente),Medio,Calidad y Atemporalidad,Teléfono Privado,0.05,26,Baja (Precio Completo),Permabrass,Box,Medium (30/32),Hermès | Prada,Industrial_Wealth,jennifer.salas@gmail.com,631,0
CL-216734,Adelina Roca Manrique,55,F,Palma,Son Vida,37369,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,68,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Fendi,Global_Jetset,adelina.roca@gmail.com,28188,0
CL-407458,Ana Ugarte Mendoza,37,F,Palma,Son Vida,5020,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,61,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,ana.ugarte@gmail.com,5020,0
CL-324364,Piedad Espada Bermejo,53,F,Palma,Son Vida,22535,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,47,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Hublot | Dolce & Gabbana,Global_Jetset,piedad.espada@gmail.com,22535,0
CL-546612,Yéssica Águila Prat,59,F,Marbella,Puerto Banús,3801,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,52,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,yéssica.águila@gmail.com,3801,0
CL-933099,Ambrosio Bilbao Rosselló,72,M,Getxo,Neguri,6091,Gold (Recurrente),Medio,Calidad y Atemporalidad,Teléfono Privado,0.05,28,Baja (Precio Completo),Permabrass,Clemence,Medium (30/32),Hermès | Rolex,Industrial_Wealth,ambrosio.bilbao@gmail.com,2528,0
CL-330308,Roldán Montero Serrano,67,M,Alcobendas,La Moraleja,4484,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,24,Baja (Precio Completo),Paladio (PHW),Canvas,Small/Medium,Cartier | Chanel,Elite,roldán.montero@gmail.com,1043,0
CL-639253,Emelina Avilés Conde,48,F,Palma,Son Vida,33033,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,69,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Dolce & Gabbana | Hublot,Global_Jetset,emelina.avilés@gmail.com,33033,0
CL-747175,Constanza Luz Nicolau,36,F,Madrid,Chamberí,29934,Gold (Recurrente),Medio,Recompensa / Éxito,Instagram Shop,0.15,40,Media (Busca Valor),Paladio (PHW),Canvas,Small/Medium,Celine | Givenchy,Young_High_Pro,constanza.luz@gmail.com,2002,0
CL-101864,Melania Reig Puerta,63,F,Alcobendas,La Moraleja,4698,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,15,Baja (Precio Completo),Oro,Canvas,Small/Medium,Cartier | Hermès,Elite,melania.reig@gmail.com,240,0
CL-376625,Dulce Núñez Barros,55,F,Marbella,Puerto Banús,3685,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,68,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Hublot | Versace,Global_Jetset,dulce.núñez@gmail.com,3685,0
CL-717270,Irma Nieto Sans,43,F,Marbella,Puerto Banús,6942,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,53,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Fendi | Hublot,Global_Jetset,irma.nieto@gmail.com,1859,0
CL-883497,Vicenta Vera Ángel,53,F,Madrid,Salamanca,38352,Gold (Recurrente),Medio,Inversión / Coleccionismo,Boutique Privada,0.05,15,Baja (Precio Completo),Oro Rosa,Exótico (Cocodrilo/Avestruz),Mini/Small,Dior | Loewe,Aristocracy,vicenta.vera@gmail.com,296,0
CL-743672,Rosario Verdejo Quintana,48,F,Marbella,Puerto Banús,5454,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,38,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Hublot | Dolce & Gabbana,Global_Jetset,rosario.verdejo@gmail.com,5454,0
CL-745389,Evita Figuerola Vazquez,73,F,Alcobendas,La Moraleja,4439,VIP Platinum (Alto Valor),Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,22,Baja (Precio Completo),Oro,Canvas,Small/Medium,Cartier | Hermès,Elite,evita.figuerola@gmail.com,-2503,0
CL-350078,Clarisa Paniagua Báez,49,F,Palma,Son Vida,138309,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,46,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Versace | Fendi,Global_Jetset,clarisa.paniagua@gmail.com,123731,0
CL-563908,Maricela Asensio Pagès,28,F,Alcorcón,Las Retamas,5655,Gold (Recurrente),Medio,Acceso al Lujo (Entry),Busca Chollos,0.15,25,Alta (Cazador de Ofertas),Oro (Flashy),Monogram Canvas,Small,Louis Vuitton (Monogram) | Gucci,Aspirational,maricela.asensio@gmail.com,1383,0
CL-954824,Nicolás Priego Porcel,46,M,Marbella,Puerto Banús,26681,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,45,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Fendi | Dolce & Gabbana,Global_Jetset,nicolás.priego@gmail.com,16796,0
CL-597588,Crescencia Berrocal Peral,60,F,Marbella,Puerto Banús,20943,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,63,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Dolce & Gabbana | Versace,Global_Jetset,crescencia.berrocal@gmail.com,20943,0
CL-248483,Ester Benavente Vera,57,F,Marbella,Puerto Banús,7619,VIP Platinum (Alto Valor),Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,52,Baja (Precio Completo),Oro,Metálico,Mini,Dolce & Gabbana | Hublot,Global_Jetset,ester.benavente@gmail.com,7619,0
CL-684793,Aránzazu Múñiz Vergara,75,F,Alcobendas,La Moraleja,5070,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),Busca Chollos,0.15,15,Baja (Precio Completo),Oro,Canvas,Small/Medium,Cartier | Hermès,Elite,aránzazu.múñiz@gmail.com,612,0
CL-101448,Anita Aragón Mora,34,F,Palma,Son Vida,21130,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,67,Baja (Precio Completo),Diamantes/Incrustaciones,Metálico,Mini,Hublot | Versace,Global_Jetset,anita.aragón@gmail.com,21130,0
CL-811794,Nidia Perera Montero,47,F,Marbella,Puerto Banús,5003,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,53,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Fendi | Hublot,Global_Jetset,nidia.perera@gmail.com,2185,0
CL-296478,Estela Río Vallejo,31,F,Marbella,Puerto Banús,8436,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,75,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Versace | Hublot,Global_Jetset,estela.río@gmail.com,8436,0
CL-435936,Arsenio Nevado Valbuena,52,M,Palma,Son Vida,6800,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,WhatsApp VIP,0.05,30,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Versace | Fendi,Global_Jetset,arsenio.nevado@gmail.com,1194,0
CL-128547,Bautista Aguilar Royo,51,M,Marbella,Puerto Banús,6465,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,36,Baja (Precio Completo),Oro,Exótico Brillante,Mini,Versace | Dolce & Gabbana,Global_Jetset,bautista.aguilar@gmail.com,6465,0
CL-746081,Salud Domingo Trujillo,63,F,Alcobendas,La Moraleja,25933,VIC (Top 1%),Muy Alto,Acceso al Lujo (Entry),E-Commerce,0.15,11,Baja (Precio Completo),Oro,Canvas,Small/Medium,Cartier | Chanel,Elite,salud.domingo@gmail.com,317,0
CL-989679,Candelaria Ballester Aller,53,F,Palma,Son Vida,38730,VIC (Top 1%),Muy Alto,Exclusividad / Visibilidad,Personal Shopper,0.05,65,Baja (Precio Completo),Diamantes/Incrustaciones,Exótico Brillante,Mini,Versace | Hublot,Global_Jetset,candelaria.ballester@gmail.com,38730,0
